term,example
snitch,Someone behind me said snitch after I answered.
snitch,The note on my desk just said snitch.
snitch,He laughed and called his teammate snitch after the miss.
ops,He muttered ops when he thought I could not hear him.
ops,She texted wow ops and then unsent it.
ops,Someone behind me said ops after I answered.
ops,The note on my desk just said ops.
ops,He laughed and called his teammate ops after the miss.
clout,He dropped clout into the group chat out of nowhere.
clout,Someone wrote clout on the shared doc as a joke.
clout,The whole comment section spiraled after clout showed up.
clout,She read the caption out loud and it ended with clout.
clout,He posted clout just to shock people in the thread.
clout chaser,He muttered clout chaser when he thought I could not hear him.
clout chaser,She texted wow clout chaser and then unsent it.
clout chaser,Someone behind me said clout chaser after I answered.
clout chaser,The note on my desk just said clout chaser.
clout chaser,He laughed and called his teammate clout chaser after the miss.
oh nah,"In the group chat somebody typed, ""oh nah,"" and five people answered at once."
oh nah,"At the lunch table one friend said, ""oh nah,"" and everybody knew what she meant."
oh nah,"The caption under the selfie was just, ""oh nah,"" with three laughing emojis."
oh nah,"In a movie-scene kind of exchange, one kid leans over and goes, ""oh nah."""
oh nah,"Walking out of class, I heard someone say, ""oh nah,"" like the whole thing was obvious."
nah bro,"In the group chat somebody typed, ""nah bro,"" and five people answered at once."
nah bro,"At the lunch table one friend said, ""nah bro,"" and everybody knew what she meant."
nah bro,"The caption under the selfie was just, ""nah bro,"" with three laughing emojis."
nah bro,"In a movie-scene kind of exchange, one kid leans over and goes, ""nah bro."""
nah bro,"Walking out of class, I heard someone say, ""nah bro,"" like the whole thing was obvious."
bro is wild,"In the group chat somebody typed, ""bro is wild,"" and five people answered at once."
bro is wild,"At the lunch table one friend said, ""bro is wild,"" and everybody knew what she meant."
bro is wild,"The caption under the selfie was just, ""bro is wild,"" with three laughing emojis."
bro is wild,"In a movie-scene kind of exchange, one kid leans over and goes, ""bro is wild."""
bro is wild,"Walking out of class, I heard someone say, ""bro is wild,"" like the whole thing was obvious."
bro thought,"In the group chat somebody typed, ""bro thought,"" and five people answered at once."
bro thought,"At the lunch table one friend said, ""bro thought,"" and everybody knew what she meant."
bro thought,"The caption under the selfie was just, ""bro thought,"" with three laughing emojis."
bro thought,"In a movie-scene kind of exchange, one kid leans over and goes, ""bro thought."""
bro thought,"Walking out of class, I heard someone say, ""bro thought,"" like the whole thing was obvious."
bro really said,"In the group chat somebody typed, ""bro really said,"" and five people answered at once."
bro really said,"At the lunch table one friend said, ""bro really said,"" and everybody knew what she meant."
bro really said,"The caption under the selfie was just, ""bro really said,"" with three laughing emojis."
bro really said,"In a movie-scene kind of exchange, one kid leans over and goes, ""bro really said."""
bro really said,"Walking out of class, I heard someone say, ""bro really said,"" like the whole thing was obvious."
say less,"In the group chat somebody typed, ""say less,"" and five people answered at once."
say less,"At the lunch table one friend said, ""say less,"" and everybody knew what she meant."
say less,"The caption under the selfie was just, ""say less,"" with three laughing emojis."
say less,"In a movie-scene kind of exchange, one kid leans over and goes, ""say less."""
say less,"Walking out of class, I heard someone say, ""say less,"" like the whole thing was obvious."
real,"In the group chat somebody typed, ""real,"" and five people answered at once."
real,"At the lunch table one friend said, ""real,"" and everybody knew what she meant."
real,"The caption under the selfie was just, ""real,"" with three laughing emojis."
real,"In a movie-scene kind of exchange, one kid leans over and goes, ""real."""
real,"Walking out of class, I heard someone say, ""real,"" like the whole thing was obvious."
it is giving,"In the group chat somebody typed, ""it is giving,"" and five people answered at once."
it is giving,"At the lunch table one friend said, ""it is giving,"" and everybody knew what she meant."
it is giving,"The caption under the selfie was just, ""it is giving,"" with three laughing emojis."
it is giving,"In a movie-scene kind of exchange, one kid leans over and goes, ""it is giving."""
it is giving,"Walking out of class, I heard someone say, ""it is giving,"" like the whole thing was obvious."
giving,"In the group chat somebody typed, ""giving,"" and five people answered at once."
giving,"At the lunch table one friend said, ""giving,"" and everybody knew what she meant."
giving,"The caption under the selfie was just, ""giving,"" with three laughing emojis."
giving,"In a movie-scene kind of exchange, one kid leans over and goes, ""giving."""
giving,"Walking out of class, I heard someone say, ""giving,"" like the whole thing was obvious."
